Scenario,Year,Crop demand,Energy crop demand,Livestock demand,Energy crop production,Non-energy crop production
SSP5 - 1.9,2070,0,19348541000,572768000,19348541000,6417277200
SSP5 - 2.6,2070,0,17720538700,566200900,17720538700,6333484500
SSP5 - 3.4,2070,0,9704882200,562247800,9704882200,6179976400
SSP5 - 4.5,2070,0,6093771000,561872000,6093771000,6141264400
SSP5 - 6.0,2070,0,240499400,570324700,240499400,6211292400
SSP5 - Baseline,2070,0,23590300,559745300,23590300,6208571100
SSP1 - 1.9,2080,5481933875,0,320279377.9,5564746500,5481968000
SSP1 - 2.6,2080,5481933875,0,320279377.9,5202315750,5486188000
SSP1 - 3.4,2080,5513932500,0,321014147.5,3242520125,5529474000
SSP1 - 4.5,2080,5548358500,0,321667820.3,2992365000,5566294000
SSP1 - Baseline,2080,5589310125,0,322644175.8,2882637469,5610093000
SSP2 - 1.9,2080,3261283723,0,26.132.378.670.000.000,9106460399,3549695631
SSP2 - 2.6,2080,42.030.095.920.000.000,0,346840839.2,7654804470,4494383185
SSP2 - 3.4,2080,4641985423,0,392091972.9,5942412463,4934266125
SSP2 - 4.5,2080,4875660229,0,414819297.5,4596479130,5168194521
SSP2 - 6.0,2080,5082883306,0,432640241.9,2878479130,5375548171
SSP2 - Baseline,2080,5171049715,0,439297008.6,2786279130,5463747167
SSP3 - 3.4,2080,42856544700,47720115000,449019900,8802562900,6930666100
SSP3 - 4.5,2080,34126803900,36738348000,456706400,6607696600,6984669600
SSP3 - 6.0,2080,30860790500,32607824600,462349700,5824427100,6985566500
SSP3 - Baseline,2080,12465605000,9614233500,466442000,1299555400,6887710300
SSP4 - 2.6,2080,4574436826,16.720.568.309.999.900,280748814.5,9427417241,4823136164
SSP4 - 3.4,2080,4743325249,12504323010,293813742.2,7006761445,4998394008
SSP4 - 4.5,2080,4919420978,7667474162,307518762.8,3603229438,5022206403
SSP4 - 6.0,2080,5075092902,4938958937,319763915.7,1373609897,5126279379
SSP4 - Baseline,2080,0,0,0,1297554051,5205640017
SSP5 - 1.9,2080,0,20623793500,573378800,20623793500,6451233300
SSP5 - 2.6,2080,0,19564870900,569582500,19564870900,6361395800
SSP5 - 3.4,2080,0,14470651000,563882300,14470651000,6239495900
SSP5 - 4.5,2080,0,7813299700,561299700,7813299700,6245597000
SSP5 - 6.0,2080,0,325319900,560996900,325319900,6313681400
SSP5 - Baseline,2080,0,17276100,558366700,17276100,6308108600
SSP1 - 1.9,2090,5490764875,0,313974711.9,6731205375,5490793000
SSP1 - 2.6,2090,5490764875,0,313974711.9,7526928500,5495285000
SSP1 - 3.4,2090,5523683375,0,314735501,6014199125,5538850000
SSP1 - 4.5,2090,5558838000,0,315435009.8,3964526844,5577937000
SSP1 - Baseline,2090,5600786875,0,31.648.018.159.999.900,3780147672,5624206000
SSP2 - 1.9,2090,3089132872,0,244389578.4,9954286409,3375412830
SSP2 - 2.6,2090,4023176428,0,33.103.330.770.000.000,9015083390,4313713465
SSP2 - 3.4,2090,4517722522,0,381399372.7,7413937803,4809698138
SSP2 - 4.5,2090,4818471005,0,411139333.4,5835726789,5110846865
SSP2 - 6.0,2090,5120586811,0,437128596.9,3357212463,5413196873
SSP2 - Baseline,2090,5265445917,0,44.727.007.479.999.900,3212612463,5558108145
SSP3 - 3.4,2090,48455684600,54416968000,461911900,10140013100,7225136600
SSP3 - 4.5,2090,39656985600,43321945700,471661200,7938064700,7287429600
SSP3 - 6.0,2090,34918424000,37324825400,479432700,6713919300,7378238300
SSP3 - Baseline,2090,13999361100,11167458400,484770400,1579741300,7260640500
SSP4 - 2.6,2090,4460587084,19412784120,270089955.8,10794232500,4507491963
SSP4 - 3.4,2090,4640694514,15652634050,284739256.4,8872495698,4950759336
SSP4 - 4.5,2090,4940141114,8004922179,306890861.3,3861042914,5063430600
SSP4 - 6.0,2090,5091903767,5132000307,318052955.6,1530004098,5147582389
SSP4 - Baseline,2090,0,0,0,1310590368,5263731014
SSP5 - 1.9,2090,0,20715263700,558313300,20715263700,6365479100
SSP5 - 2.6,2090,0,21543209900,557599900,21543209900,6314436100
SSP5 - 3.4,2090,0,18761840600,551415000,18761840600,6211186900
SSP5 - 4.5,2090,0,9197138000,546428900,9197138000,6180184300
SSP5 - 6.0,2090,0,603295700,545549300,603295700,6299093700
SSP5 - Baseline,2090,0,58895100,543481600,58895100,6297922900
SSP1 - 1.9,2100,5499663000,0,307670098.6,8014704250,5499687000
SSP1 - 2.6,2100,5499663000,0,307670098.6,7748012625,5509088000
SSP1 - 3.4,2100,5533499500,0,30.845.671.190.000.000,8482560250,5548808000
SSP1 - 4.5,2100,5569383250,0,30.920.223.140.000.000,4540259125,5588570000
SSP1 - Baseline,2100,5612326250,0,310316118.2,3976263906,5635640000
